Ranking,Country,Score,Political Context,Economic Context,Legal Framework,Safety Score,Sociocultural Context
1,Norway,92.65,94.89,90.38,92.23,92.03,93.71
2,Denmark,90.27,94.34,83.67,89.18,92.97,91.17
3,Sweden,88.84,91.96,87.66,90.27,84.14,90.18
4,Estonia,88.83,91.11,81.97,87.87,93.2,90
5,Finland,88.42,90.4,82.03,86.64,92.26,90.77
6,Ireland,88.3,89.24,79.08,85.09,95.58,92.5
7,Portugal,87.07,91.86,77.41,84.21,88.73,93.14
8,Costa Rica,85.92,81.62,72.96,87.72,94.78,92.5
9,Lithuania,84.14,87.01,72.16,84.46,87.37,89.71
10,Liechtenstein,84.03,80.36,68.78,84.74,96.46,89.8
11,New Zealand,83.54,90.15,75.26,74.78,87.76,89.75
12,Jamaica,83.35,74.85,71.94,82.46,92.52,95
13,Seychelles,83.33,80.45,69.13,85.31,91.5,90.25
14,Switzerland,82.72,90,68.37,80.99,85.92,88.33
15,Iceland,82.69,86.21,65.56,82.68,91.5,87.5
16,Germany,82.04,87.03,80.07,87.08,66.58,89.47
17,Timor-Leste,81.89,85.45,68.71,85.96,93.65,75.67
18,Namibia,81.84,72.97,69.8,82.98,91.84,91.6
19,Canada,81.74,82.27,71.17,80.26,82.99,92
20,Czech Republic,80.54,79.66,61.56,84.21,88.81,88.44
21,Luxembourg,79.81,82.94,66.33,72.93,88.14,88.71
22,Latvia,79.17,78.96,64.58,80.89,84.06,87.36
23,Belgium,78.86,75.03,71.22,79.3,81.35,87.4
24,UK,78.71,80.57,72.75,76.63,79.33,84.29
25,Trinidad and Tobago,78.68,73.94,67.86,74.56,92.52,84.5
26,France,78.53,79.85,67.86,86.51,69.05,89.38
27,Slovakia,78.37,71.44,67.98,82.02,84.01,86.38
28,Netherlands,77.93,86.3,82.86,87.28,47.09,86.1
29,Argentina,77.28,76.36,51.53,90.68,82.06,85.75
30,Dominican Republic,76.9,71.52,62.24,85.96,72.79,92
31,Austria,76.74,77.82,61.43,74.54,84.29,81.2
32,Spain,76.71,72.73,63.38,82.16,83.4,81.89
33,Bhutan,76.46,78.79,62.24,70.39,93.88,77
34,Guyana,76.41,70.06,67.76,75.61,87.21,81.4
35,South Africa,75.56,75.96,62.59,84.36,72.39,82.5
36,Cabo Verde,75.37,72.55,62.76,77.98,88.16,75.4
37,Ivory Coast,74.46,74.89,58.45,75.94,81.6,81.43
38,Taiwan,74.08,74.78,51.88,79.01,87.02,77.69
39,Australia,73.77,77.17,63.44,64.18,79.88,84.17
40,Moldova,73.47,70.15,47.83,83,80.48,85.88
41,Burkina Faso,73.12,78.99,67.69,75.58,55.52,87.83
42,United States,72.74,72.99,59.33,77.32,72.63,81.43
43,South Korea,72.11,71.15,55.31,72.81,81.5,79.8
44,Uruguay,72.03,70.3,49.32,83.63,84.58,72.33
45,Samoa,71.39,61.82,56.12,64.91,89.12,85
46,Sierra Leone,71.03,73.71,50.38,78.4,75.14,77.5
47,Belize,70.67,70,52.04,63.6,85.71,82
48,Croatia,70.42,68.26,50.46,79.19,78.08,76.09
49,Tonga,69.74,69.7,53.06,66.67,89.8,69.5
50,The Gambia,69.25,71.11,51.36,67.69,74.74,81.33
51,Armenia,68.97,66.26,44.44,77.88,79.91,76.33
52,Suriname,68.95,67.88,55.1,62.28,75.51,84
53,Andorra,68.79,68.12,50.41,69.12,87.48,68.8
54,Slovenia,68.54,59.32,47.7,79.11,76.61,79.94
55,OECS,68.49,62.91,48.37,68.25,83.13,79.8
56,Romania,68.46,66.77,46.77,76.46,70.63,81.67
57,North Macedonia,68.44,66.16,43.71,81.29,77.85,73.17
58,Italy,68.16,65.89,47.52,73.93,73.48,80
59,Niger,67.8,62.3,46.73,71.75,81.69,76.5
60,Ghana,67.43,66.61,47.22,81.42,62.25,79.64
61,Kosovo,67,64.34,45.24,80.85,70.26,74.33
62,Papua New Guinea,66.66,62.42,45.24,66.08,78.23,81.33
63,Montenegro,66.54,62.51,47.67,77.19,74.33,71
64,Mauritius,66.07,55.58,47.81,64.29,82.5,80.29
65,Cyprus,65.97,61.21,42.09,74.56,86.25,65.75
66,Poland,65.64,50.95,57.41,68.95,68.33,82.53
67,Bosnia-Herzegovina,65.64,61.56,40.23,79.57,74.95,71.86
68,Ecuador,64.61,60.1,55.44,67.98,70.03,69.5
69,Kenya,64.59,62.42,46.33,72.28,63.92,78
70,Haiti,64.55,59.6,50.34,72.22,59.91,80.67
71,Japan,64.37,54.66,53.7,66.23,80.19,67.06
72,Kyrgyzstan,64.25,59.9,48.64,68.86,74.83,69
73,Senegal,63.07,59.31,42.13,66.67,74.84,72.43
74,Panama,62.78,54.24,47.45,64.04,74.15,74
75,Liberia,62.77,55.5,32.8,74.69,68.3,82.57
76,Nepal,62.67,59.8,40.14,66.08,69.99,77.33
77,Peru,61.75,66.67,41.84,70.61,66.35,63
78,Malta,61.55,46.82,41.33,67.98,76.87,74.75
79,Serbia,61.51,47.47,34.92,79.92,71.03,74.22
80,Malawi,61.4,55.76,38.44,78.07,67.08,67.67
81,North Cyprus,61.08,56.48,38.78,69.82,80.14,60.2
82,Chile,60.61,65.03,42.86,67.63,55.15,72.4
83,Comoros,60.16,56.36,50.26,59.98,58.56,75.63
84,Guinea,59.82,59.26,47.05,71.15,50.96,70.67
85,Hungary,59.8,47.07,32.31,67.25,85.03,67.33
86,Israel,59.62,65.15,55.1,53.51,46.61,77.75
87,Maldives,59.55,62.27,38.27,67.11,75.12,55
88,Lesotho,59.39,57.37,40.14,57.31,68.11,74
89,Georgia,59.3,52.42,46.43,80.79,41.34,75.5
90,Mongolia,59.17,55.48,36.18,60.37,74.27,69.55
91,Bulgaria,59.12,54.95,30.1,68.71,75.02,66.83
92,Guinea Bissau,58.79,59.26,50.82,68.42,61.18,62.4
93,Congo- Brazzaville,58.64,58.06,48.57,64.21,59.76,62.6
94,Tunisia,58.49,61.82,41.84,67.19,51.42,70.2
95,Botswana,58.49,56.97,37.24,56.36,72.11,69.75
96,Paraguay,58.36,54.24,31.12,75.44,65.99,65
97,Mauritania,58.1,55.15,35.13,64.29,71.67,64.29
98,Madagascar,58.02,52.58,35.08,64.47,73.47,64.5
99,Angola,57.17,52.83,35.03,61.11,63.87,73
100,Togo,57.17,57.52,53.06,61.93,55.15,69.5
101,The Central African Republic,56.96,51.21,41.07,62.06,62.19,68.25
102,Fiji,56.91,44.85,39.8,58.33,77.55,64
103,Albania,56.41,50.55,29.39,68.77,66.75,66.6
104,Chad,56.18,55.88,43.27,60.35,58.21,63.2
105,Gabon,56,48.38,39.46,56.14,70.52,62.5
106,Ukraine,55.76,61.21,42.86,79.45,18.84,76.43
107,Burundi,55.74,50.03,44.67,59.55,77.66,52.78
108,Greece,55.52,60.5,38.13,69.54,44.1,65.36
109,Zambia,55.4,52.35,37.76,58.33,64.55,64
110,Brazil,55.36,51.62,37.59,69.74,47.86,70
111,Mali,54.48,35.15,42.6,74.34,41.81,78.5
112,El Salvador,54.09,42.94,39.07,63.22,62.37,62.86
113,Malaysia,51.55,46.52,42.6,40.13,72.48,56
114,Ethiopia,50.53,50.65,45.77,63.66,35.29,57.29
115,Thailand,50.15,58.99,45.24,47.37,45.5,53.67
116,Mozambique,49.89,46.06,40.31,61.62,54.21,47.25
117,Indonesia,49.27,45.91,41.33,55.7,37.42,66
118,Cameroon,49.1,48.05,35.71,56.89,37.25,67.57
119,Qatar,49.03,59.7,46.94,43.86,52.17,42.5
120,Jordan,48.66,40,32.65,41.23,63.4,66
121,Benin,48.39,47.73,28.19,57.46,53.1,55.5
122,Kazakhstan,48.28,43.52,29.8,51.93,63.85,52.3
123,Tanzania,48.28,43.88,32.65,45.09,60.56,59.2
124,Guatemala,47.94,46.06,33.67,68.86,32.12,59
125,Democratic Republic of Congo,47.66,51.33,41.43,60.88,24.34,60.3
126,Bolivia,47.58,44.55,33.67,58.77,55.89,45
127,Mexico,47.57,58.18,43.37,65.79,11.02,59.5
128,South Sudan,47.06,40.48,36.73,52.11,55.37,50.6
129,Nigeria,46.79,45.15,36.39,53.8,28.75,69.83
130,Lebanon,46.58,50.91,38.27,50.22,33.02,60.5
131,Eswatini,46.42,41.31,35.03,43.86,61.4,50.5
132,Uganda,46.35,44.7,36.99,60.96,33.09,56
133,Uzbekistan,44.74,44.75,35.71,50.88,44.03,53.33
134,Algeria,45.53,41.21,32.4,54.17,44.02,55.88
135,Morocco/Western Sahara,45.42,51.67,28.83,55.81,34.82,56
136,Rwanda,45.18,42.12,31.89,57.89,38.76,55.25
137,Zimbabwe,44.94,40.3,32.4,54.17,43.34,54.5
138,UAE,44.46,45.45,36.73,32.02,57.59,50.5
139,Singapore,44.23,39.09,29.21,34.21,69.39,49.25
140,Somalia,44.01,51.03,41.22,47.72,18.27,61.8
141,Equatorial Guinea,43.96,42.73,24.49,71.15,64.04,44.25
142,Cambodia,43.48,42.42,27.96,49.65,34.96,62.4
143,Libya,43.16,54.42,34.9,44.91,36.58,45
144,Brunei,42.53,40.61,30.61,28.51,78.91,34
145,Colombia,42.43,44.7,32.27,60.42,24.4,50.38
146,Sri Lanka,42.13,40.91,27.04,53.07,41.37,48.25
147,Philippines,41.84,44.44,23.13,54.97,24.83,61.83
148,Hong Kong,41.64,40.5,35.9,42.58,31.78,57.45
149,Turkey,41.25,38.38,27.55,62.92,32.37,55
150,India,41,40.76,30.36,57.02,20.61,56.25
151,Sudan,40.96,47.05,29.97,41.45,35.35,51
152,Tajikistan,40.26,33.79,29.85,48.68,42.96,46
153,Belarus,39.62,32.93,48.75,37.23,18.85,60.33
154,Azerbaijan,39.4,37.66,23.76,48.25,28.48,58.86
155,Russia,38.82,36.36,34.84,44.61,27,51.29
156,Afghanistan,38.27,44.65,43.88,42.54,16.96,43.33
157,Pakistan,37.99,39.57,31.92,53.26,17.75,47.43
158,Kuwait,37.87,32.73,19.39,36.84,73.41,27
159,Venezuela,37.78,33.7,31.73,44.74,31.22,47.5
160,Nicaragua,37.09,37.45,38.78,31.75,27.68,49.8
161,Laos,36.64,36.06,20.92,31.58,50.64,44
162,Bangladesh,36.63,42.12,32.48,44.15,15.88,48.5
163,Oman,35.99,32.73,23.98,18.42,59.82,45
164,Djibouti,35.75,32.73,16.12,37.72,54.56,37.6
165,Honduras,34.61,33.33,31.63,36.84,40.22,31
166,Saudi Arabia,33.71,37.27,33.67,22.37,38.75,36.5
167,Bahrain,30.97,35.15,21.43,28.95,29.65,39.67
168,Egypt,30.23,30.91,23.47,34.87,17.64,44.25
169,Yemen,29.14,33.03,27.55,38.6,11.54,35
170,Palestine,28.98,35.45,15.82,36.4,20.74,36.5
171,Syria,28.94,33.51,27.62,33.58,13.39,36.57
172,Iraq,28.59,34.14,20.07,29.82,18.27,40.67
173,Cuba,27.32,27.27,39.8,15.79,26.24,27.5
174,Vietnam,26.11,32.32,18.71,27.49,17.37,34.67
175,China,25.17,27.45,26.02,23.25,15.84,33.3
176,Myanmar,25.03,40.4,29.25,20.18,4.63,30.67
177,Turkmenistan,25.01,25,11.73,29.61,35.69,23
178,Iran,23.22,34.14,21.32,26.71,13.61,23.78
179,Eritrea,19.62,22.22,19.73,25.15,11.36,19.67
180,North Korea,13.92,22.42,0,22.81,12.38,12
